id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,roi_times,roi_currency,roi_percentage,market_cap,circulating_supply,total_supply
crypto-com-chain,CRO,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.08,2193069437,43,2445192226,10323403,0.083865,0.079756,-0.002228673211918095,-2.66149,-60988608.237725735,-2.70572,26906712035.7764,30000000000.0,,0.965407,-91.56202,2021-11-24 15:53:54.855000+00:00,0.0121196,572.14147,2019-02-08 00:00:00+00:00,2024-08-28 20:19:01.956000+00:00,0.0,N/A,0.0,2193069437.0,26906712035.78,30000000000.0
filecoin,FIL,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,3.67,2127361619,44,7169169437,233588199,3.92,3.56,-0.2498089831143604,-6.37644,-152723487.9701531,-6.69815,581604376.0,1959996025.0,1959996025.0,236.84,-98.45806,2021-04-01 13:29:41.564000+00:00,2.64,38.27978,2022-12-16 22:45:28.552000+00:00,2024-08-28 20:19:08.246000+00:00,0.0,N/A,0.0,2127361619.0,581604376.0,1959996025.0
sui,SUI,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui_asset.jpeg?1696525453,0.82,2126574555,45,8191463808,368047661,0.901529,0.768549,-0.0795039979372496,-8.83463,-203047238.4198494,-8.71589,2596086126.65889,10000000000.0,10000000000.0,2.17,-62.29703,2024-03-27 17:46:02.608000+00:00,0.364846,124.35651,2023-10-19 10:40:30.078000+00:00,2024-08-28 20:19:08.516000+00:00,0.0,N/A,0.0,2126574555.0,2596086126.66,10000000000.0
mantle,MNT,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/token-logo.png?1696529819,0.59,1941888336,46,3696909682,134970587,0.608048,0.569088,-0.009516477351813712,-1.57513,-30890505.421174765,-1.56584,3266841707.83684,6219316794.99,6219316794.99,1.54,-61.41665,2024-04-08 09:45:25.482000+00:00,0.307978,92.76964,2023-10-18 02:50:46.942000+00:00,2024-08-28 20:19:04.822000+00:00,0.0,N/A,0.0,1941888336.0,3266841707.84,6219316794.99
aave,AAVE,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,124.92,1856224997,47,1991077071,358209091,128.83,116.96,2.58,2.10953,30043340.0,1.64515,14916348.732365554,16000000.0,16000000.0,661.69,-81.24799,2021-05-18 21:19:59.514000+00:00,26.02,376.80706,2020-11-05 09:20:11.928000+00:00,2024-08-28 20:19:09.748000+00:00,0.0,N/A,0.0,1856224997.0,14916348.73,16000000.0
hedera-hashgraph,HBAR,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.05,1846270270,48,2573090927,83274334,0.054484,0.050564,-0.002727309790933025,-5.01655,-101545326.32933426,-5.21329,35876506542.7691,50000000000.0,50000000000.0,0.569229,-90.9656,2021-09-15 10:40:28.318000+00:00,0.00986111,421.50737,2020-01-02 17:30:24.852000+00:00,2024-08-28 20:19:04.372000+00:00,0.0,N/A,0.0,1846270270.0,35876506542.77,50000000000.0
vechain,VET,Vechain,https://coin-images.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1710013505,0.02,1844578242,49,1958462128,31924323,0.02381567,0.02215157,-0.000994319698410996,-4.17705,-83218232.89236403,-4.31675,80985041177.0,85985041177.0,86712634466.0,0.280991,-91.92207,2021-04-19 01:08:21.675000+00:00,0.00191713,1083.96937,2020-03-13 02:29:59.652000+00:00,2024-08-28 20:19:08.789000+00:00,2.164754195182085,eth,216.4754195182085,1844578242.0,80985041177.0,85985041177.0
arbitrum,ARB,Arbitrum,https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242,0.52,1825410271,50,5221232276,323747569,0.556518,0.507553,-0.033007341610284735,-5.94419,-113966697.28533912,-5.87646,3496129217.0,10000000000.0,10000000000.0,2.39,-78.24249,2024-01-12 12:29:59.231000+00:00,0.431578,20.50355,2024-08-05 11:35:54.024000+00:00,2024-08-28 20:19:02.375000+00:00,0.0,N/A,0.0,1825410271.0,3496129217.0,10000000000.0
cosmos,ATOM,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,4.58,1786595557,52,1787700679,214229119,4.8,4.47,-0.21400471237243401,-4.46093,-91291487.20377994,-4.86139,390688369.813272,390930035.085365,,44.45,-89.69781,2022-01-17 00:34:41.497000+00:00,1.16,294.73165,2020-03-13 02:27:44.591000+00:00,2024-08-28 20:19:02.297000+00:00,44.83310973939624,usd,4483.310973939624,1786595557.0,390688369.81,390930035.09
injective-protocol,INJ,Injective,https://coin-images.coingecko.com/coins/images/12882/large/Secondary_Symbol.png?1696512670,18.31,1786008444,51,1827544466,201801349,20.6,17.64,-2.2909777156816595,-11.11879,-228531681.21702456,-11.34411,97727222.33,100000000.0,,52.62,-65.29332,2024-03-14 15:06:22.124000+00:00,0.657401,2678.04419,2020-11-03 16:19:30.576000+00:00,2024-08-28 20:19:05.294000+00:00,0.0,N/A,0.0,1786008444.0,97727222.33,100000000.0
maker,MKR,Maker,https://coin-images.coingecko.com/coins/images/1364/large/Mark_Maker.png?1696502423,1818.06,1687817577,53,1773246900,209240081,2053.41,1791.93,-227.0332222430302,-11.10138,-221154149.36305428,-11.58499,930531.923295245,977631.036950888,1005577.0,6292.31,-71.34441,2021-05-03 21:54:29.333000+00:00,168.36,970.99406,2020-03-16 20:52:36.527000+00:00,2024-08-28 20:19:05.030000+00:00,0.0,N/A,0.0,1687817577.0,930531.92,977631.04
optimism,OP,Optimism,https://coin-images.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,1.42,1684139764,54,6090726449,244642641,1.46,1.36,-0.03918998050539546,-2.68908,-44633364.04482794,-2.58179,1187596466.0,4294967296.0,4294967296.0,4.84,-70.80125,2024-03-06 08:35:50.817000+00:00,0.402159,251.72095,2022-06-18 20:54:52.178000+00:00,2024-08-28 20:19:06.322000+00:00,0.0,N/A,0.0,1684139764.0,1187596466.0,4294967296.0
