id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,roi_times,roi_currency,roi_percentage,market_cap,circulating_supply,total_supply
stellar,XLM,Stellar,https://coin-images.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1696501482,0.09,2746575272,37,4655610042,96763918,0.096586,0.090751,-0.003706083873006208,-3.83707,-103548143.66824484,-3.63311,29498534097.5094,50001786946.5427,50001786946.5427,0.875563,-89.37187,2018-01-03 00:00:00+00:00,0.00047612,19444.51591,2015-03-05 00:00:00+00:00,2024-08-28 19:48:56.672000+00:00,0.0,N/A,0.0,2746575272.0,29498534097.51,50001786946.54
blockstack,STX,Stacks,https://coin-images.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,1.61,2405519430,38,2947372331,132483191,1.8,1.56,-0.1865124111975185,-10.36689,-265815795.52241898,-9.95067,1483773963.14574,1818000000.0,1818000000.0,3.86,-58.18662,2024-04-01 12:34:58.342000+00:00,0.04559639,3443.71001,2020-03-13 02:29:26.415000+00:00,2024-08-28 19:49:01.224000+00:00,12.438364906610708,usd,1243.836490661071,2405519430.0,1483773963.15,1818000000.0
render-token,RENDER,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,5.85,2297685473,39,3115923397,236644080,6.12,5.58,-0.16991599446138572,-2.82373,-58886599.177735806,-2.49882,392459381.455492,532219654.735492,,13.53,-56.6716,2024-03-17 16:30:24.636000+00:00,0.03665669,15898.07641,2020-06-16 13:22:25.900000+00:00,2024-08-28 19:48:56.589000+00:00,0.0,N/A,0.0,2297685473.0,392459381.46,532219654.74
immutable-x,IMX,Immutable,https://coin-images.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,1.44,2277081255,40,2895530678,81330289,1.46,1.32,0.02386437,1.68686,47762017.0,2.14245,1572824817.3898141,2000000000.0,2000000000.0,9.52,-84.81086,2021-11-26 01:03:01.536000+00:00,0.378055,282.48321,2022-12-31 07:36:37.649000+00:00,2024-08-28 19:49:02.767000+00:00,0.0,N/A,0.0,2277081255.0,1572824817.39,2000000000.0
bittensor,TAO,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,306.37,2239587590,41,6447602402,119693881,330.01,292.8,-23.637658459825104,-7.16276,-165114327.7032776,-6.86631,7294392.0,21000000.0,21000000.0,757.6,-59.51814,2024-03-07 18:45:36.466000+00:00,30.83,894.78702,2023-05-14 08:57:53.732000+00:00,2024-08-28 19:49:01.696000+00:00,0.0,N/A,0.0,2239587590.0,7294392.0,21000000.0
okb,OKB,Okb,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,36.71,2204990455,43,8671407399,5059060,37.53,36.02,-0.7629714447627975,-2.03592,-52690352.28206587,-2.33383,60000000.0,235957685.3,300000000.0,73.8,-50.19907,2024-03-14 00:30:12.502000+00:00,0.580608,6230.39049,2019-01-14 00:00:00+00:00,2024-08-28 19:48:55.942000+00:00,0.0,N/A,0.0,2204990455.0,60000000.0,235957685.3
crypto-com-chain,CRO,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.08,2203433468,42,2456754218,10396937,0.084179,0.079756,-0.002460849717721564,-2.92334,-61841868.908765316,-2.72999,26906641107.9064,30000000000.0,,0.965407,-91.52076,2021-11-24 15:53:54.855000+00:00,0.0121196,575.42811,2019-02-08 00:00:00+00:00,2024-08-28 19:48:52.452000+00:00,0.0,N/A,0.0,2203433468.0,26906641107.91,30000000000.0
filecoin,FIL,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,3.67,2139567901,44,7210405956,232017789,3.95,3.56,-0.2820339140653698,-7.14248,-156936625.5221157,-6.83372,581596183.0,1959996025.0,1959996025.0,236.84,-98.44598,2021-04-01 13:29:41.564000+00:00,2.64,39.36374,2022-12-16 22:45:28.552000+00:00,2024-08-28 19:48:53.931000+00:00,0.0,N/A,0.0,2139567901.0,581596183.0,1959996025.0
sui,SUI,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui_asset.jpeg?1696525453,0.82,2127268008,45,8194134954,371160861,0.905937,0.768549,-0.0884756530783496,-9.7662,-233241661.32339334,-9.88099,2596086126.65889,10000000000.0,10000000000.0,2.17,-62.27869,2024-03-27 17:46:02.608000+00:00,0.364846,124.46569,2023-10-19 10:40:30.078000+00:00,2024-08-28 19:48:57.231000+00:00,0.0,N/A,0.0,2127268008.0,2596086126.66,10000000000.0
mantle,MNT,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/token-logo.png?1696529819,0.59,1941876886,46,3696887884,133930489,0.608227,0.569088,-0.014559488245020624,-2.39376,-45468134.97520089,-2.28788,3266841707.83684,6219316794.99,6219316794.99,1.54,-61.36051,2024-04-08 09:45:25.482000+00:00,0.307978,93.05009,2023-10-18 02:50:46.942000+00:00,2024-08-28 19:48:55.116000+00:00,0.0,N/A,0.0,1941876886.0,3266841707.84,6219316794.99
